altitude_m,distancia_proximo_m,id,id_original,inclinacao_percentual,lat,latitude,lon,longitude,origem,tipo
824.0,578.122,1,1,0.865,-22.5126560661358,-22.5126560661358,-43.1723776459694,-43.1723776459694,,no
829.0,947.623,2,2,-0.422,-22.5113031749893,-22.5113031749893,-43.1778118014336,-43.1778118014336,,no
825.0,415.457,3,3,-0.963,-22.5037555287238,-22.5037555287238,-43.1820954236844,-43.1820954236844,,no
821.0,219.111,4,4,-1.369,-22.5048709644746,-22.5048709644746,-43.1782355904579,-43.1782355904579,,no
818.0,976.479,5,5,0.307,-22.5061838721343,-22.5061838721343,-43.1798261404038,-43.1798261404038,,no
821.0,1644.866,6,6,2.553,-22.5038818181922,-22.5038818181922,-43.1889992952347,-43.1889992952347,,no
863.0,1963.304,7,7,-2.241,-22.5185258766827,-22.5185258766827,-43.1912630796432,-43.1912630796432,,no
819.0,3873.028,8,8,0.775,-22.5063697165505,-22.5063697165505,-43.1774014234543,-43.1774014234543,,no
849.0,1363.772,9,9,2.786,-22.5117194107215,-22.5117194107215,-43.2146573066711,-43.2146573066711,,no
887.0,3707.032,10,10,-1.052,-22.5175397461782,-22.5175397461782,-43.226343691349,-43.226343691349,,no
848.0,5511.924,11,11,2.232,-22.5321798397445,-22.5321798397445,-43.193918466568,-43.193918466568,,no
971.0,3200.01,12,12,-4.75,-22.4868835591907,-22.4868835591907,-43.215714097023,-43.215714097023,,no
819.0,1994.624,13,13,3.76,-22.5039585751932,-22.5039585751932,-43.1906408071518,-43.1906408071518,,no
894.0,2486.744,14,14,-2.895,-22.5211447871041,-22.5211447871041,-43.1962037086487,-43.1962037086487,,no
822.0,4719.151,15,15,1.017,-22.5096777053537,-22.5096777053537,-43.1754192709923,-43.1754192709923,,no
870.0,2224.419,16,16,1.888,-22.5309460585919,-22.5309460585919,-43.21517765522,-43.21517765522,,no
912.0,3243.349,17,17,-2.59,-22.5161274354673,-22.5161274354673,-43.2006293535233,-43.2006293535233,,no
828.0,1102.222,18,18,-0.272,-22.5161992911694,-22.5161992911694,-43.1690543889999,-43.1690543889999,,no
825.0,5529.977,19,19,1.067,-22.5074376976202,-22.5074376976202,-43.1740728020668,-43.1740728020668,,no
884.0,4367.867,20,20,-1.442,-22.5340329682346,-22.5340329682346,-43.2195657491684,-43.2195657491684,,no
821.0,610.677,21,21,-0.164,-22.5074872357063,-22.5074872357063,-43.1882214546204,-43.1882214546204,,no
820.0,372.011,22,22,-0.806,-22.5045707321091,-22.5045707321091,-43.1831842660904,-43.1831842660904,,no
